"Screen Resolution","Market Share Perc. (2015 - 2019)"
"1366x768",27.71
"1920x1080",17.34
"1280x1024",7.28
"1280x800",6.61
"1440x900",6.54
"1024x768",5.41
"1600x900",4.07
"1680x1050",3.07
"1536x864",2.32
"2560x1440",2.13
"1280x720",2.05
"1360x768",1.73
"360x640",1.72
"1920x1200",1.07
"1024x600",0.8
"1280x768",0.61
"1152x864",0.45
"1093x614",0.45
"1280x960",0.35
"800x600",0.31
"Other",7.97
